	element	sub_ids	regions	elm_type	stroke	freq2	count2	dep2
8217	𠂥	⿱㇒𠕁	GT		6	0.0	0	('𠂥', '𣗨')
8218	𠔽	⿵冂冂	GT		4	0.0	0	('𠔽', '𠕞', '𡫛', '𡫛', '𣝼', '𣝼', '𥋬', '𥋬', '𥌗', '𥌗', '𥵑', '𥵸', '𦤝', '𦤝', '𦮏', '𧾫', '𧾫', '𪦧', '𫿻', '𬘆')
8219	𠔄	⿱丷匸	T		4	0.0	0	('𠔄', '𠕏')
8220	𠔃	⿱丷丂	GT		4	0.0	0	('𠔃', '𠘵', '𧿪', '𫡞', '𮓩', '𮓩', '𮓩', '𮦱', '𱾹')
8221	𠔁	⿱八八	GT		4	0.0	0	('𠔁', '䤇', '𠔌', '𠦎', '𣈩', '𦜒', '𧘳', '𪂸')
8222	𠓝	⿱入十	GT		4	0.0	0	('𠓝', '𮝂', '𰃗')
8223	𠆦	⿺𠃊亼	GT		4	0.0	0	('𠆦', '𡲡')
8224	𠃙	⿱九九	T		4	0.0	0	('𠃙', '𤲽')
8225	𠁾	𠁾	GT		4	0.0	0	('𠁾',)
8226	𠀌	⿱⿰𠃍{111}一	G		4	0.0	0	('𠀌', '𡵽', '𨚑')
8227	𠀋	⿺丈丶	GTJP		4	0.0	0	('𠀋', '𱃮', '𱮪')
8228	𠀈	𠀈	GT		4	0.0	0	('𠀈',)
8229	罓	⿵冂㐅	GHJ		4	0.0	0	('罓', '𠤣', '𡴓', '𥵭', '𦆢', '𦉮', '𦊋', '𦊕', '𦊣', '𦊬', '𦋇', '𦋱', '𦋵', '𦌓', '𦌼', '𦍅', '𮊄', '𮊎', '𮊓', '𮊔')
8230	弖	⿱弓一	GJ		4	0.0	0	('弖', '𡉶', '𢪕', '𦙠', '𦙠', '𧦒', '𪿓', '𫢏', '𭙗', '𭾤')
8231	弌	⿹弋一	GHTJKP		4	0.0	0	('弌', '𢗥')
8232	𠀠	⿴廿㐅	GT		6	0.0	0	('𠀠', '𢍌', '𣗅', '𧪷')
8233	𠀜	⿿亚	X		6	0.0	0	('𠀜', '𱳤')
8234	𠀜	⿳一⿻⿰丨丨八一	G		6	0.0	0	('𠀜', '𱳤')
