仌	⿱𠆢𠆢	人人
卍	卍	卍
丯	⿻彡丨	丯
亓	⿱一丌	一一丿丨
𠤏	⿱匕十	匕十
{13}	⿱⺊{厂}	{13}
{35}	{⼏} 	{35}
{105}	⿰[ヲ][又]	{105}
{33}	{凹}	{33}
{116}	{曲}	{116}
{115}	{𫭣上}	{115}
{107}	⿰𠂈[又]	{107}
{92}	{𪚧內}	{92}
↔卍		↔卍
↔止		↔⺊一丨
↷戈		↷𫠠㇒丶
↷予		↷乛丶乛亅
↷止		↷⺊一丨
↷灬		↷灬
↷见		↷冂丿乚
㐊	⿱士乙	一丨一乙
㐋	⿱土乙	十一乙
㐧	⿻⿹⿻乛亅㇒丶	乛亅㇒丶
㓀	⿱冖卜	冖卜
㔫	⿸𠂇匕	𠂇匕
㕛	⿱又又	又又
㠪	⿱一上	一⺊一
㠪	⊖正丨	一⺊一
㸦	⿻丁⿱𠃋乀	一亅𠃋乀
丒	⿱刃一	刀㇒一
丒	⿱⿹𠃌㐅一	刀㇒一
丮	⿹⺄𰀁	⺄𰀁
乣	⿰幺乚	幺乚
亖	⿱二二	二二
亣	⿱丶丌	丶一丿丨
亣	⿱亠⿰丿丨	丶一丿丨
仂	⿰亻力	㇒丨力
仉	⿰亻几	㇒丨几
仐	⿱𠆢十	𠆢十
兂	⿸⿻⿱一𠃋丿乚	一𠃋丿乚
兂	⿻⿸⿻二丿乚丨	一𠃋丿乚
刅	⿰刃丶	刀㇒丶
勼	⿹勹九	㇒𠃌九
勽	⿹勹人	㇒𠃌人
匁	⿻勹乂	㇒𠃌乂
匁	⿻{34}乀	㇒𠃌乂
卐	↔卍	↔卍
厹	⿱九厶	九𠃋丶
尣	⿱八儿	八儿
屲	⿱㇒山	㇒凵丨
弌	⿹弋一	𫠠丶一
弖	⿱弓一	弓一
罓	⿵冂㐅	冂㐅
阞	⿰阝力	阝力
𠀈	𠀈	𠀈
𠀋	⿺丈丶	𠂇乀丶
𠀌	⿱⿰𠃍{111}一	𠃍{111}一
𠁾	𠁾	𠁾
𠃙	⿱九九	九九
𠆦	⿺𠃊亼	𠃊𠆢一
𠆧	⿰亻人	㇒丨人
𠓝	⿱入十	入十
𠔁	⿱八八	八八
𠔃	⿱丷丂	丷一㇉
𠔄	⿱丷匸	丷匸
𠔽	⿵冂冂	冂冂
𠕀	⿵冂又	冂又
𠘬	⿰几几	几几
𠘭	⿱厶几	𠃋丶几
𠘯	⿻𠘨厶	𠘨𠃋丶
𠘯	⿻几厶	𠘨𠃋丶
