ids_prim	stroke	freq2_log	elms
	8	6	者者門其固京林青青來𫩠雨雨𣏟𣏟𣏟㝵咼的的靑靑知到或事東果長𠦝𢆍非非非非幸{68}
	8	5	具具国坴坴坴𥝢明金爭念念所所咅兩臤昔定若取於於於易周周法奇炎拉受武炏𩙿直直㐭始官官苟戔兓兓鱼宗居放虎虎使帛妾单並实夌夌和帚帚卒兒服享享𧈧卑卑卑𤰞𤰞郎侖亞朋学制罙罙㸚㸚㸚彔彔表𠣜夜委冐冐冐物建岡备命㡀㡀苗采录录变卖尚些依空空宜河底府刻终卓𥃲舍舍舍治奉侌侌转参奔隶隶叔性妻忠妹罗贤畀承垂垂昆往怪卷卷㚘宓臽臽忽英岩{56}{7}{17}
	8	4	注波斩昏斦玩肯肯𫵖宛劵劵苦典怕育育昌昌𱖔彼𡬠𡬠拍茄𦍎兔兔兔降败孟亟亟㸒況肃卦松玨奄郑征屈范责刺佰奈丧孤宝味奋齿贯爸顷招罔歨匋废庚图耶拔欣抱质季狗狀侍店姑顶庙态迫戾戾𬎾𬎾卧臥衫担板房房房肥肥黾叕忝忝忝尙泪𲂻择规臾臾乳甾昍净呵杰𭁨贫审豖抽闹疌𰧭郁杯宠咎咎𢌿虏𡕥𤕰𣥖郊叁贪𠚍乖狐𠛬𠛬枝欧限佳牧昗述述画画𫂱拋供幷侠匊股股例油茂泄佩泣析弥弥岳茅凭厓咒歧杲𰥍弦㦰诣沓沓泡泥泳苑歩彿肴肴秉舎肩肩肩肩{61}
	8	3	枚岸坦氛函函函拘昊弩糾糾侈陌陏枉斧版怡籴刷沮迪浅浅坤沾咖刹侣凯忿咀披𦙌沫肿枕𧘗囷径径妮衬垃拂姆旺枣苛宙昂怯陋盲炒沸届岭肺肺肺泙虱炙阜坡枢拙侄帘帘杼押泊帖迭郅弧岱刮枭㹜玫帕苹苓杭兖拐拐佯杵祇祇苴𢼄𢼄侃炊呱𠈌炉炉炉卹杳㲎昇沼徂觅瓮迦盱呴盂券券怛沱苞苞屆屆竺泯
	8	2	泠佻穹穹𥤧𥤧泌坪妲泓庖庖𫇭沽苕㧜軋茀旻迥炬妬苻苔戕牀拑昃迢昙昕拈孥宕侗㫄㫄㫄沬泮泮苫枋姁坫叀苜沝泫拌拌泜曶曶佶迤牪杪秅茁茆炅矾苾抨羋羋炆卺㣇㣇祅祅迮厔刲廻苖昀昀苯茇茇苽泅玟侁佴泔祋祋㭊奅岨岪秊邿肫肫
	8	1	冼侘茌拃苙穸穸坨亝斨肏㕞刵忞炗沭沭劼㞑怚抯杸玪矤苨𠧢帙肬肬狍侙坥昒欥𫼉𫼉𠈇坩炘㤅佸呥忥秇秇秇苲𡊮𡊮𭇐㚔忩苳𱐍玢岢䏔䏔肰肰徃䏙䏙㚖㞐㤁㤕䄪䢸冞刾匌厒妸宖尭怐怗抳旹旾枒欦泃狛盰苪苶茋
	8	0	肶肶苿戽戽岽秈抺斉斉沲侫侫茐沷苘靣靣苠
	8	-1	㐩㑒㑒㒺㓣㓤㔙㔙㔽㕁㕺㕻㕿㘠㘳㘴㚗㚻㚼㚿㛁㞺㟀㢱㣘㤐㦲㦿㦿㧝㱚㱛㳌㳎㶨㸓㹨㺳㽵䀐䀑䍐䒔䘚丳佫侎冾凮刼効勆勆匼匼卥囶囶囶坣坬坮坸奌妱姄姈実屇岝岦岶岺岺峀峀廼弆忢怽抦昋昋昑昘昛杴枀枈毟泈泍炇牨玧瓫畁畂畄糼舠苐苚迡迱郍鼡𠀬𠀭𠂳𠄭𠄮𠈃𠈄𠈉𠈗𠈣𠈪𠒃𠒆𠒋𠗀𠗀𠗆𠙇𠙉𠚌𠛧𠛫𠛱𠛹𠛹𠛼𠛼𠜂𠜂𠜊𠤻𠦜𠧠𠧦𠧧𠩋𠩓𠩕𠫭𠫯𠰓𠰕𠰛𠰞𠰞𠰣𠰥𠱀𠱄𡇈𡇋𡇌𡊎𡊙𡊚𡊥𡊦𡊨𡊭𡊱𡊵𡕢𡘃𡘆𡘊𡛩𡛼𡥚𡧘𡧟𡧢𡧧𡭧𡭨𡱀𡱁𡱂𡱅𡱈𡴋𡴋𡶇𡶓𡶟𡶣𡶣𡶤𡶦𡶩𡿱𡿱𡿲𢂇𢂋𢆎𢆻𢇳𢇻𢍀𢍁𢏈𢏈𢏏𢒊𢘆𢘤𢦟𢨯𢨯𢨳𢨳𢪿𢫕𢺸𢻻𢻻𢼂𣂔𣅜𣅟𣅳𣏔𣏚𣏦𣏰𣏼𣏽𣐀𣐁𣐂𣐂𣐇𣢊𣢐𣥏𣥐𣥕𣥚𣥜𣧋𣧌𣬅𣲲𤆦𤆬𤆯𤓻𤘆𤘴𤝗𤝚𤝡𤤅𤤋𤰅𤰠𤽇𤿌𥁃𥁄𥁄𥃳𥃳𥃷𥄁𥎨𥐦𥐦𥐧𥘣𥘪𥝕𥝝𥝝𥝞𥤨𥤨𥤬𥤱𥤱𥩘𥩘𥸩𦉷𦉼𦉾𦍐𦏲𦒳𦓎𦙃𦙃𦙊𦙊𦙑𦙑𦙚𦙟𦙟𦥙𦨈𦨉𦬘𦬞𦬣𦬦𦬪𦬬𦬮𦬮𦬰𧆛𧈟𧈠𧈡𧗠𧠆𧠇𧹘𨐌𨐌𨒂𨒂𨒒𨒙𨒣𨸏𨹅𪜹𪜹𪟄𪠁𪠆𪠨𪥌𪧈𪪎𪫩𪯢𪯱𪯲𪰊𪰋𪰎𪸓𪻓𫃚𫆀𫇩𫐣𫠭𫤘𫧠𫨈𫩣𫩧𫯢𫰗𫲿𫻩𫾨𬂣𬅟𬇊𬉻𬙘𬚳𬜦𬮠𭀡𭁈𭁈𭁴𭃚𭅉𭅑𭅒𭅒𭅺𭇎𭎇𭎊𭎌𭑈𭑊𭒽𭔫𭕘𭖒𭖒𭚫𭟰𭟲𭠂𭠂𭣤𭥒𭥕𭥖𭥗𭩢𭭛𭮃𭴉𭴋𭴎𭶪𭸾𭺲𭺳𭺳𮕦𮝾𮨶𮱤𰁽𰇑𰉢𰏤𰏴𰗕𰛐𰤔𰥐𰮋𰹈𱑎𱒒𱛖𱞂𱡻𱣀𱪮𱬷𱵼𱺵𱻊𱼧𱽐𱽓𲀥
	9	6	頁頁是音既為係首首相則虽要昜重重
	9	5	胃胃品韋韋亲軍後故壴壴咸咸前前侯看娄禺骨骨骨复复鬼鬼说食食食面面昷思革封柬𦚏酋酋帝南皆俞俞卻㒸風風点畐茍星某𦔻𨊥屋便度宫政皇觉将将神神飛爰禹垚送客美兪兪兪兪春扁扁秋保曷曷洛信𡿺𠱠急急急奐奐奐亭总类畏架室退战泉闻种贵威枼城叚很待耑轻甚甚洗貞𦭝𦭝带带陣钟剌胡胡胡追眉斿斿帮哉䙲䙲咪段查绝指彖宣彦响举彥哈計昭除显𭴘结
